show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genres,language,description,popularity,vote_count,vote_average,num_seasons
32415,TV Show,Conan,Unknown,"Conan O'Brien, Andy Richter",United States of America,2010-11-08,2010,7.035,1 Seasons,"Talk, Comedy, News",en,A late night television talk show hosted by  Conan O'Brien.,1670.58,229,7.035,1.0
37757,TV Show,Masterchef Greece,Unknown,Unknown,Greece,2010-10-03,2010,5.6,1 Seasons,Reality,el,MasterChef Greece is a Greek competitive cooking game show. It's an adaptation of the British show MasterChef.,1317.092,6,5.6,1.0
33847,TV Show,The Talk,Unknown,"Amanda Kloots, Jerry O'Connell, Akbar Gbaja-Biamila, Natalie Morales, Sheryl Underwood","United States of America, Ireland",2010-10-18,2010,3.4,1 Seasons,Talk,en,"A panel of well-known news and entertainment personalities discussing current events, pop culture, contemporary issues, family, celebrity and the trending topics of the day.",712.07,12,3.4,1.0
250253,TV Show,Euphrosyne,"Maxim Mokrushev, Oleg Maslennikov","Anastasiya Makarova, Valeriy Zolotukhin, Irina Kartashyova, Aleksandr Klyukvin, Kseniya Entelis",,2010-02-15,2010,0.0,1 Seasons,"Drama, Soap",ru,Unknown,629.982,0,0.0,1.0
32798,TV Show,Hawaii Five-0,Unknown,"Alex O'Loughlin, Scott Caan, Ian Anthony Dale, Meaghan Rath, Beulah Koale","United States of America, Singapore",2010-09-20,2010,7.8,1 Seasons,"Crime, Drama, Action & Adventure",en,"Steve McGarrett returns home to Oahu, in order to find his father's killer. The governor offers him the chance to run his own task force (Five-0). Steve's team is joined by Chin Ho Kelly, Danny ""Danno"" Williams, and Kono Kalakaua.",616.862,1750,7.8,1.0
1402,TV Show,The Walking Dead,Unknown,"Lauren Cohan, Norman Reedus, Jeffrey Dean Morgan, Melissa McBride, Christian Serratos",United States of America,2010-10-31,2010,8.103,1 Seasons,"Action & Adventure, Drama, Sci-Fi & Fantasy",en,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,485.66,16790,8.103,1.0
33384,TV Show,Zone,Unknown,"Michael Underwood, Angellica Bell",United States of America,2010-05-20,2010,0.0,1 Seasons,Unknown,en,"The Zone is the name given to a shopping and gaming channel on Freeview. The channel is an interactive gaming and home shopping programming block, with gaming segments from Jackpot247, and teleshopping segments from JML.

On 7 November 2011, a placeholder caption appeared on Freeview channel 39, broadcasting on multiplex A, stating ""The Zone: Coming soon, The place to shop and play"". The channel launched on 14 November 2011, broadcasting between 18:00 pm and 06:00 am but was not available in Wales until 9 January 2012.

The channel timeshares with CITV.",489.739,0,0.0,1.0
31132,TV Show,Regular Show,Unknown,"J.G. Quintel, William Salyers, Mark Hamill, Sam Marin, Minty Lewis",United States of America,2010-09-06,2010,8.621,1 Seasons,"Animation, Comedy",en,The surreal misadventures of two best friends - a blue jay and a raccoon - as they seek to liven up their mundane jobs as groundskeepers at the local park.,426.107,2045,8.621,1.0
64488,TV Show,Atomes Crochus,Unknown,Alexandre Barrette,Canada,2010-03-01,2010,0.0,1 Seasons,Unknown,fr,"A hilarious game show in which two contestants and a panel of six stars attempt to fill in the ""hole"" left in a wacky sentence. The contestant who goes to the final game has a chance to walk away with the grand prize if they play in perfect symbiosis with a randomly selected star.",463.962,0,0.0,1.0
58581,TV Show,Antiques Road Trip,Ian Hendry,Tim Wonnacott,United Kingdom,2010-03-08,2010,5.0,1 Seasons,Documentary,en,"Antiques experts travel across the country, competing to make a profit at auction.",581.634,8,5.0,1.0
